Bucket,TypeOfTraveller,Count,AvgLen
High(7-10),Business,115,763.4695652173913
High(7-10),Solo Leisure,358,746.8324022346369
High(7-10),Family Leisure,128,739.1484375
High(7-10),Couple Leisure,722,725.2534626038781
Low(1-3),Couple Leisure,691,1011.4008683068017
Low(1-3),Solo Leisure,388,996.3737113402062
Low(1-3),Family Leisure,209,954.5071770334928
Low(1-3),Business,407,926.2407862407863
Mid(4-6),Business,119,1006.109243697479
Mid(4-6),Family Leisure,61,916.4754098360655
Mid(4-6),Solo Leisure,145,906.7172413793104
Mid(4-6),Couple Leisure,358,899.9804469273743
