FlightYear,FlightMonth,Count,AvgRating
2014,August,1,10.0
2014,December,2,6.5
2014,July,1,9.0
2014,November,2,3.5
2014,October,1,8.0
2014,September,2,4.0
2015,April,5,4.6
2015,August,861,5.871080139372823
2015,December,57,5.7894736842105265
2015,February,2,4.5
2015,January,4,6.0
2015,July,56,4.571428571428571
2015,June,39,5.3076923076923075
2015,March,2,3.0
2015,May,18,5.944444444444445
2015,November,66,5.0606060606060606
2015,October,64,5.09375
2015,September,78,4.756410256410256
2016,April,40,5.725
2016,August,47,3.702127659574468
2016,December,55,3.8545454545454545
2016,February,39,5.3076923076923075
2016,January,37,5.162162162162162
2016,July,35,4.514285714285714
2016,June,38,4.7631578947368425
2016,March,51,6.254901960784314
2016,May,50,4.74
2016,November,58,4.913793103448276
2016,October,57,4.7894736842105265
2016,September,56,4.660714285714286
2017,April,65,3.7846153846153845
2017,August,42,3.738095238095238
2017,December,24,3.2083333333333335
2017,February,52,4.365384615384615
2017,January,60,4.066666666666666
2017,July,39,3.641025641025641
2017,June,56,2.9107142857142856
2017,March,49,3.5714285714285716
2017,May,47,4.0638297872340425
2017,November,38,4.315789473684211
2017,October,44,3.7954545454545454
2017,September,44,4.7272727272727275
2018,April,25,4.36
2018,August,20,5.5
2018,December,31,4.32258064516129
2018,February,27,3.814814814814815
2018,January,24,5.333333333333333
2018,July,31,4.451612903225806
2018,June,31,4.741935483870968
2018,March,36,4.583333333333333
2018,May,38,4.2894736842105265
2018,November,28,3.9642857142857144
2018,October,24,4.333333333333333
2018,September,23,4.913043478260869
2019,April,22,4.7727272727272725
2019,August,30,3.6333333333333333
2019,December,24,4.708333333333333
2019,February,24,4.041666666666667
2019,January,21,4.619047619047619
2019,July,34,4.352941176470588
2019,June,26,5.423076923076923
2019,March,22,4.636363636363637
2019,May,33,5.212121212121212
2019,November,31,5.32258064516129
2019,October,36,5.0
2019,September,33,5.03030303030303
2020,April,4,1.25
2020,August,2,1.5
2020,December,7,5.0
2020,February,18,3.6666666666666665
2020,January,31,5.354838709677419
2020,July,3,5.0
2020,June,1,2.0
2020,March,19,2.526315789473684
2020,May,2,1.0
2020,November,2,1.0
2020,October,3,5.0
2020,September,2,10.0
2021,April,3,4.666666666666667
2021,August,12,3.0
2021,December,13,5.0
2021,February,2,5.5
2021,January,4,1.75
2021,July,8,3.25
2021,June,4,5.75
2021,May,2,9.0
2021,November,18,3.5
2021,October,16,5.6875
2021,September,11,4.181818181818182
2022,April,27,4.37037037037037
2022,August,7,5.285714285714286
2022,December,26,3.230769230769231
2022,February,13,4.769230769230769
2022,January,11,4.636363636363637
2022,July,15,4.133333333333334
2022,June,30,3.0
2022,March,25,3.28
2022,May,19,3.4210526315789473
2022,November,12,3.1666666666666665
2022,October,18,5.0
2022,September,14,5.428571428571429
2023,April,23,3.260869565217391
2023,August,20,2.9
2023,February,14,4.571428571428571
2023,January,20,4.5
2023,July,21,3.4761904761904763
2023,June,32,2.375
2023,March,33,3.515151515151515
2023,May,23,2.5652173913043477
2023,November,8,4.75
2023,October,22,3.409090909090909
2023,September,23,2.130434782608696
