FlightYear,Count,AvgRating,AvgSeat,AvgCabin,AvgGround,AvgFood,AvgValue,AvgEnt
2014,9,6.111111111111111,3.6666666666666665,3.888888888888889,4.0,3.0,3.2222222222222223,3.6666666666666665
2015,1252,5.6293929712460065,3.1110223642172525,3.484025559105431,2.997603833865815,3.0287539936102235,3.1182108626198084,2.700479233226837
2016,563,4.843694493783303,2.9253996447602133,3.3321492007104796,2.8880994671403197,2.6394316163410303,2.7069271758436946,2.786856127886323
2017,560,3.8589285714285713,2.557142857142857,2.830357142857143,2.7410714285714284,2.226785714285714,2.2857142857142856,2.5875
2018,338,4.511834319526627,2.775147928994083,3.1508875739644973,2.896449704142012,2.760355029585799,2.600591715976331,2.804733727810651
2019,336,4.747023809523809,2.857142857142857,3.2797619047619047,2.8958333333333335,2.8898809523809526,2.675595238095238,2.943452380952381
2020,94,4.031914893617022,2.9893617021276597,3.382978723404255,2.9680851063829787,2.9148936170212765,2.382978723404255,2.9468085106382977
2021,93,4.301075268817204,2.89247311827957,3.3333333333333335,2.5483870967741935,2.924731182795699,2.5806451612903225,3.0
2022,217,3.9400921658986174,2.792626728110599,3.0691244239631335,2.4654377880184333,2.640552995391705,2.28110599078341,2.880184331797235
2023,239,3.2343096234309625,2.489539748953975,2.8953974895397487,2.2343096234309625,2.414225941422594,1.99163179916318,2.719665271966527
