Aircraft,AverageFood&Beverages
B747-400 in retro,5.0
B737-400,5.0
B767,5.0
Boeing 777-236 ER,5.0
A321-200,5.0
A330,5.0
SAAB 2000,5.0
Saab 2000,5.0
777-300,4.0
Boeing 744,4.0
Boeing 787-10,4.0
A219,4.0
A350-1000,4.0
B777-300ER,4.0
Boeing 737-800,3.75
Boeing 787-900,3.6666666666666665
B747-400,3.25
A318,3.25
Embraer 190,3.25
A320 Finnair,3.0
Embraer,3.0
787,3.0
Boeing 787 Dreamliner,3.0
boeing 787,3.0
Boeing 767-300,3.0
767-300,3.0
A340-300,3.0
A380,2.8461538461538463
Boeing 787,2.8229166666666665
E190,2.75
Boeing 777-200,2.7116564417177913
Boeing 777-300 ER,2.6862745098039214
Embraer 170,2.6666666666666665
A319,2.6666666666666665
Boeing 787-800,2.6666666666666665
Boeing 747-400,2.654135338345865
Boeing 787-9,2.6375
Boeing 787-8,2.6346153846153846
Boeing 777-200ER,2.627906976744186
A320 Neo,2.625
A320,2.5597826086956523
A380-800,2.5416666666666665
Boeing 777,2.50814332247557
Boeing 777-300,2.5
A321,2.4954128440366974
A350,2.361111111111111
Boeing 747,2.3384615384615386
Boeing 767,2.313953488372093
A321 Neo,2.2857142857142856
E170,2.25
Boeing 737,2.1666666666666665
A320-200,2.1666666666666665
Boeing 777-236,2.0
B777-200,2.0
Various,2.0
777,2.0
Boeing 747-300,2.0
Airbus A380,2.0
Boieng 777-200,2.0
B777,1.0
EMB190,1.0
A320-232,1.0
Boeing 767-300 ,1.0
Dreamliner,1.0
A322,1.0
B777-300,1.0
777-200,1.0
Boeing 737-400,1.0
Boeing 737 800,1.0
BA366,1.0
Embraer E190,1.0
