Features,Importances
TravelForLeisure,0.023113289381638324
TravelForBusiness,0.0
Economy Class,0.022326454241857672
Business Class,0.02471434628310351
Premium Economy,0.005847405112601734
First Class,0.010412637149853172
DepartInOct,0.011726945066413582
DepartInSep,0.003475907776872028
DepartInAug,0.013406417483649713
DepartInNov,0.011071185070621074
DepartInDec,0.010151834583293757
DepartInJun,0.00811611400680815
DepartInJul,0.013667539337198172
DepartInMar,0.0074849275503133025
DepartInJan,0.01092746669531251
DepartInMay,0.006445043045373718
DepartInApr,0.004061903557984253
DepartInFeb,0.009364029019322513
SeatComfort,0.1411050430042419
CabinStaffService,0.11643096810396393
GroundService,0.1907343780066138
Food&Beverages,0.35541616552296335
