Aircraft,AverageGroundService
B747-400 in retro,5.0
B737-400,5.0
B767,5.0
A321-200,5.0
Boeing 787-10,5.0
B777-300ER,5.0
Saab 2000,5.0
Boeing 737-800,4.5
Boeing 787-900,4.333333333333333
A318,4.25
EMB190,4.0
Boeing 787 Dreamliner,4.0
Boeing 744,4.0
A219,4.0
SAAB 2000,4.0
A340-300,4.0
B747-400,3.5
E170,3.25
Boeing 777-200,3.184049079754601
Boeing 737,3.1666666666666665
Boeing 787,3.0833333333333335
A380,3.0625
Embraer,3.0
Boeing 777-236 ER,3.0
B777-200,3.0
777-300,3.0
A320 Neo,3.0
A330,3.0
boeing 787,3.0
Boeing 737-400,3.0
A350-1000,3.0
767-300,3.0
Airbus A380,3.0
A319,2.9930555555555554
Boeing 747-400,2.9849624060150375
Boeing 777-300 ER,2.9607843137254903
Boeing 787-9,2.95
A320,2.932065217391304
Boeing 777,2.9120521172638436
A321,2.8990825688073394
Boeing 777-300,2.803030303030303
Boeing 747,2.7615384615384615
E190,2.75
Embraer 190,2.75
A350,2.7222222222222223
Boeing 767-300,2.6666666666666665
A321 Neo,2.607142857142857
Boeing 767,2.604651162790698
Boeing 777-200ER,2.558139534883721
Boeing 787-8,2.519230769230769
A380-800,2.5
A320-200,2.25
Embraer 170,2.0
Boeing 767-300 ,2.0
Various,2.0
Boeing 787-800,2.0
777,2.0
B777,1.0
A320-232,1.0
Boeing 777-236,1.0
A320 Finnair,1.0
787,1.0
Dreamliner,1.0
A322,1.0
B777-300,1.0
777-200,1.0
Boeing 737 800,1.0
BA366,1.0
Embraer E190,1.0
Boeing 747-300,1.0
Boieng 777-200,1.0
