Departure,Destination,count
New York,London,20
Heathrow,Singapore,19
Manchester,Heathrow,18
Heathrow,Miami,18
Miami,Heathrow,17
Johannesburg,London,17
Vancouver,London,16
Cape Town,London,16
London,New York,16
Heathrow,Dubai,15
Singapore,Heathrow,15
Glasgow,Heathrow,15
Suvarnabhumi,Heathrow,15
John F. Kennedy,Heathrow,14
Dubai,Heathrow,14
Vancouver,Heathrow,14
London,Johannesburg,14
Los Angeles,London,13
Toronto,Heathrow,13
London,Cape Town,13
Washington DC,London,13
London,Singapore,12
Heathrow,Hong Kong,12
Singapore,London,12
Toronto,London,12
Heathrow,Vancouver,11
Miami,London,11
Sydney,Singapore,11
Athens,Heathrow,11
San Francisco,Heathrow,11
Heathrow,Cape Town,11
Heathrow,San Francisco,10
Athens,London,10
Istanbul,London,10
London,Hong Kong,10
London,Vancouver,9
London,Los Angeles,9
Heathrow,Bangkok,9
Heathrow,Kuala Lumpur,9
O.R. Tambo,Heathrow,9
Cape Town,Heathrow,9
Amsterdam,London,9
Heathrow,O.R. Tambo,9
London,Boston,9
Heathrow,Suvarnabhumi,9
Hong Kong,Heathrow,9
London,Dubai,9
Chicago,Heathrow,9
San Francisco,London,9
London,Toronto,9
Hong Kong,London,9
Heathrow,New York,9
London,Chicago,8
Gatwick,Cancun,8
Madrid,London,8
Bangkok,London,8
San Diego,London,8
Kuala Lumpur,London,8
Heathrow,Amsterdam,8
Amsterdam,Heathrow,8
Mumbai,London,8
Chicago,London,8
Los Angeles,Heathrow,8
Edinburgh,London,8
Manchester,London,7
Heathrow,Boston,7
IAD,Heathrow,7
London,Istanbul,7
London,Miami,7
Belfast,London,7
Glasgow,London,7
Heathrow,John F. Kennedy,7
London,Athens,7
Heathrow,Edinburgh,7
Boston,London,7
Edinburgh,Heathrow,7
Berlin,London,7
Dubai,London,7
Calgary,London,6
Heathrow,LAX,6
Heathrow,Athens,6
Heathrow,Las Vegas,6
Heathrow,Toronto,6
Heathrow,Geneva,6
London,Edinburgh,6
New York,Heathrow,6
Frankfurt,London,6
Boston,Heathrow,6
PHL,Heathrow,6
Gatwick,Mauritius,6
Kuala Lumpur,Heathrow,6
Gatwick,Grantley Adams,6
LAS,Heathrow,6
Rome,London,6
SEA,Heathrow,6
London,Delhi,6
Dublin,London,6
Heathrow,Johannesburg,6
London,Washington DC,6
Madrid,Heathrow,6
Dublin,Heathrow,6
Gatwick,Malaga,6
Phoenix,London,6
London,Madrid,6
St Lucia,Gatwick,6
Las Vegas,London,5
Heathrow,IAD,5
Gatwick,Orlando,5
London,Bangkok,5
Malaga,Gatwick,5
London,Geneva,5
SYD,Singapore,5
Larnaca,Heathrow,5
MXP,Heathrow,5
Amman,London,5
GIG,Heathrow,5
Seattle,London,5
London,Paris,5
BCN,Heathrow,5
Copenhagen,London,5
London,Kuala Lumpur,5
Lisbon,London,5
Prague,London,5
Heathrow,Belfast,5
Singapore,Sydney,5
Brussels,London,5
Cairo,London,5
Gatwick,Barbados,5
Orlando,Gatwick,5
Orlando,London,5
ATL,Heathrow,5
Heathrow,Munich,5
Heathrow,DUB,5
Heathrow,IST,5
Tampa,Gatwick,4
Geneva,London,4
Gatwick,Barcelona,4
London,Milan,4
Bangkok,Heathrow,4
London,Dusseldorf,4
Atlanta,London,4
Gatwick,UVF,4
Phoenix,Heathrow,4
Gatwick,Las Vegas,4
Heathrow,DEN,4
Heathrow,LAS,4
LAX,Heathrow,4
Heathrow,ZRH,4
London,Malaga,4
Heathrow,YYC,4
Bangalore,London,4
Antigua,Gatwick,4
London,Phoenix,4
Gatwick,Pisa,4
TLV,Heathrow,4
LCA,Heathrow,4
CPH,Heathrow,4
Tel Aviv,London,4
London,Larnaca,4
Gatwick,Cape Town,4
London,Mumbai,4
Heathrow,Brussels,4
London,Zurich,4
ORD,Heathrow,4
London,Pisa,4
Johannesburg,Cape Town,4
London,Rome,4
London,Lisbon,4
Dallas,London,4
Geneva,Heathrow,4
New Orleans,London,4
Vienna,London,4
DOH,BAH,4
London,San Francisco,4
Heathrow,Glasgow,4
CDG,Heathrow,4
Newcastle,London,4
London,Barbados,4
London,Seattle,4
Heathrow,Gibraltar,4
Bari,Gatwick,4
Gatwick,PUJ,4
London,Philadelphia,4
Gatwick,MCO,4
Gatwick,Amsterdam,4
Rome,Heathrow,4
Glasgow,Gatwick,4
Gatwick,Bridgetown,4
Heathrow,Manchester,4
Budapest,London,3
Washington DC,Heathrow,3
Houston,Heathrow,3
Heathrow,Larnaca,3
Newark,London,3
London,Belfast,3
Gatwick,CUN,3
Malta,Gatwick,3
Heathrow,Milan Malpensa,3
Heathrow,Sofia,3
Nairobi,London,3
Denver,London,3
UVF,Gatwick,3
Gatwick,Alicante,3
Buenos Aires,Heathrow,3
HND,Heathrow,3
London,Bangalore,3
Heathrow,Vienna,3
Tokyo Narita,Heathrow,3
London,Sofia,3
DFW,Heathrow,3
London,Venice,3
MAD,Heathrow,3
Gatwick,Funchal,3
Heathrow,ORD,3
Heathrow,LCA,3
London,Tampa,3
Heathrow,LIS,3
TXL,Heathrow,3
Gatwick,MRU,3
London,Austin,3
Tokyo,Heathrow,3
Gatwick,TPA,3
Heathrow,GRU,3
Heathrow,PHX,3
Vienna,Heathrow,3
Nice,Heathrow,3
Heathrow,BOM,3
Heathrow,Rome,3
Heathrow,Chicago,3
Aberdeen,London,3
Heathrow,BCN,3
London,Las Vegas,3
Seoul,London,3
Naples,Gatwick,3
Mexico City,London,3
London,Shanghai,3
Heathrow,CDG,3
London,Vienna,3
NAP,Gatwick,3
LIS,Heathrow,3
Newcastle,Heathrow,3
Heathrow,TXL,3
Heathrow,PHL,3
