word,count
ba,149
airways,140
british,139
service,130
customer,128
not,124
airline,98
very,72
experience,72
no,69
worst,60
flight,52
again,49
class,47
food,46
never,39
seats,38
business,38
fly,37
budget,34
this,34
has,34
disappointed,33
poor,32
staff,31
they,31
cost,31
cabin,30
so,30
will,29
crew,29
seat,28
it,27
had,25
now,24
low,23
uncomfortable,22
me,22
just,22
money,21
economy,20
one,19
worth,18
than,18
really,18
time,18
all,18
another,18
luggage,18
lost,17
flying,17
them,17
do,17
gone,17
last,17
quality,17
old,16
appalling,16
like,16
club,16
first,16
product,16
disappointing,16
ever,16
more,15
bad,15
much,15
worse,15
standards,14
downhill,14
extremely,14
its,14
absolutely,14
what,14
terrible,14
been,14
better,14
would,14
premium,14
recommend,14
did,13
longer,13
any,13
our,13
airlines,13
aircraft,13
most,13
carrier,13
lack,12
cutting,12
ryanair,12
your,12
decline,12
care,12
hours,12
dont,12
trip,12
space,11
rude,11
their,11
such,11
check,11
use,11
far,11
delayed,11
meal,11
return,11
good,11
we,11
awful,10
europe,10
going,10
joke,10
that,10
value,10
cramped,10
some,9
disgrace,9
choice,9
how,9
average,9
cancelled,9
become,9
baggage,9
mediocre,9
should,9
other,9
flights,9
plane,8
new,8
level,8
too,8
leg,8
late,8
nothing,8
customers,8
avoid,8
national,8
hour,8
chaotic,8
way,8
get,8
boarding,8
little,8
unhelpful,7
us,7
disappointment,7
wont,7
same,7
left,7
competitors,7
only,7
long,7
overall,7
friendly,7
work,7
arrived,7
need,7
shocking,7
nightmare,7
well,7
best,7
think,7
abysmal,7
legroom,7
truly,7
pay,7
complete,7
inflight,6
could,6
3,6
easyjet,6
using,6
there,6
can,6
major,6
great,6
waste,6
drinks,6
passengers,6
room,6
miserable,6
journey,6
due,6
didnt,6
checkin,6
haul,6
price,6
world,6
let,6
attitude,6
total,6
being,6
dreadful,6
narrow,6
fare,6
still,5
used,5
non,5
fallen,5
back,5
5,5
rate,5
dated,5
go,5
basic,5
full,5
declined,5
choose,5
feel,5
couldnt,5
simply,5
cannot,5
provided,5
every,5
where,5
call,5
help,5
once,5
bag,5
boeing,5
entertainment,5
served,5
standard,5
flown,5
tired,5
planes,5
air,5
travel,4
shabby,4
seating,4
becoming,4
process,4
horrible,4
bas,4
contempt,4
carriers,4
race,4
future,4
days,4
years,4
needs,4
rip,4
water,4
free,4
next,4
past,4
bottom,4
covid,4
connecting,4
pathetic,4
frills,4
provide,4
does,4
plot,4
lowcost,4
find,4
comfort,4
see,4
high,4
worn,4
make,4
adequate,4
getting,4
lot,4
mistake,4
shambolic,4
ive,4
middle,4
made,4
lounge,4
absolute,4
services,4
board,4
comfortable,4
limited,4
short,4
4,4
downgrade,4
drink,4
lacking,4
route,4
give,4
asked,4
2,4
less,4
recommended,4
underwhelming,4
lies,3
par,3
fullservice,3
got,3
extra,3
anyone,3
purpose,3
trying,3
prices,3
facing,3
special,3
show,3
pleasant,3
option,3
everything,3
cant,3
expectations,3
reputation,3
struggle,3
shambles,3
rather,3
arrive,3
delay,3
normal,3
told,3
anymore,3
given,3
say,3
take,3
ife,3
sad,3
zero,3
both,3
fast,3
cheap,3
mins,3
definitely,3
bags,3
certainly,3
missed,3
dirty,3
inadequate,3
people,3
different,3
expect,3
support,3
nearly,3
clearly,3
assistance,3
problem,3
respect,3
things,3
second,3
acceptable,3
twice,3
bland,3
refund,3
date,3
together,3
treated,3
badly,3
looking,3
helpful,3
cares,3
treatment,3
breakfast,3
sort,3
selection,3
attention,3
horrid,3
shoddy,3
unprofessional,3
further,3
nofrills,3
paid,3
delays,3
inedible,3
three,3
around,3
delivered,3
experiences,3
personal,3
paying,3
happy,3
existent,3
1,3
systems,3
lower,3
found,3
poorly,3
cattle,3
airport,3
change,3
incredibly,3
try,3
unpleasant,3
closed,3
cut,3
lacklustre,3
whatsoever,3
indifferent,3
nice,3
available,3
fit,3
atrocious,3
seem,3
many,3
behind,3
changed,3
expected,3
deteriorated,3
pretty,3
snacks,3
wanted,3
lowest,3
almost,3
gave,3
onboard,3
horrendous,3
huge,3
online,2
received,2
laughing,2
disaster,2
downgraded,2
747,2
even,2
dropped,2
two,2
lazy,2
suitcase,2
sandwiches,2
management,2
inconvenience,2
overcrowded,2
act,2
shame,2
wet,2
treats,2
sandwich,2
gradually,2
unlikely,2
sure,2
bean,2
queue,2
alternatives,2
trend,2
own,2
subpar,2
seemed,2
hot,2
totally,2
deal,2
hotel,2
biggest,2
masks,2
failed,2
turned,2
ceo,2
soon,2
please,2
upgrade,2
turning,2
ticket,2
ludicrous,2
operated,2
kind,2
embarrassment,2
terminal,2
bit,2
utterly,2
shameful,2
ripoff,2
tv,2
charging,2
upgraded,2
inattentive,2
quite,2
dropping,2
unfair,2
lacks,2
gate,2
slip,2
inside,2
unfriendly,2
warm,2
charged,2
expects,2
failing,2
close,2
rows,2
incompetent,2
impressed,2
serve,2
incompetence,2
6,2
erosion,2
life,2
negative,2
excuse,2
wrong,2
enough,2
practice,2
lacked,2
ashamed,2
finesse,2
without,2
end,2
ground,2
passenger,2
rapidly,2
gets,2
canada,2
aisle,2
completely,2
dried,2
degraded,2
soaking,2
wouldnt,2
approach,2
explanation,2
status,2
dinner,2
beyond,2
avios,2
25,2
took,2
vegetarian,2
champagne,2
movie,2
useless,2
possibly,2
done,2
across,2
refurbishment,2
finally,2
window,2
third,2
anything,2
responsive,2
utter,2
choosing,2
penny,2
effectively,2
levels,2
improve,2
dogs,2
hard,2
broken,2
sunk,2
wasnt,2
corners,2
disgraceful,2
single,2
outbound,2
slipped,2
777,2
loyalty,2
24,2
look,2
catalogue,2
clean,2
case,2
extreme,2
small,2
continue,2
dramatically,2
arrival,2
pack,2
mini,2
doesnt,2
yet,2
significantly,2
issue,2
refused,2
counters,2
something,2
professional,2
waiting,2
outdated,2
carry,2
style,2
compensation,2
least,2
pinching,2
greedy,2
prefer,2
patience,2
run,2
costs,2
company,2
star,2
went,2
either,2
inferior,2
allowance,2
why,2
right,2
game,2
drop,2
booked,2
came,2
aging,2
id,2
improved,2
heathrow,2
ridiculous,2
fair,2
noticeable,2
pitch,2
trained,2
depths,2
themselves,2
