Aircraft,AverageOverallRating
Boeing 777-236 ER,10.0
A321-200,10.0
Boeing 787-10,10.0
Saab 2000,10.0
B737-400,9.199999809265137
SAAB 2000,9.199999809265137
B777-300ER,9.199999809265137
B747-400 in retro,9.100000381469727
B767,8.600000381469727
A219,8.300000190734863
Boeing 787-900,7.383333404858907
A350-1000,7.0
A318,6.924999982118607
Boeing 787-800,6.566666603088379
boeing 787,6.5
Boeing 737-800,6.349999904632568
Embraer,6.2000000238418576
Boeing 787 Dreamliner,6.199999809265137
Boeing 744,6.199999809265137
A330,6.099999904632568
767-300,6.099999904632568
A340-300,6.050000071525574
Boeing 777-236,5.900000095367432
Boeing 767-300,5.8666666348775225
E190,5.474999904632568
Embraer 190,5.424999929964542
A319,5.338194452484863
A320 Neo,5.262499995529652
Boeing 777-300 ER,5.229411750447516
A380,5.220673061190889
Boeing 777-200,5.071779151864213
Boeing 787,5.053124996911113
A320,4.941304349785914
777-300,4.900000095367432
Embraer 170,4.700000007947286
A321,4.663302756572535
B747-400,4.650000035762787
Boeing 747-400,4.631203010118098
Boeing 737,4.616666687031587
E170,4.600000023841858
Boeing 787-9,4.53000001590699
Boeing 777,4.501954394098408
Boeing 777-300,4.2439393880918175
B777-200,4.150000095367432
Airbus A380,4.099999904632568
Boeing 747,4.091538462214745
A380-800,3.9999999784243605
A321 Neo,3.9946428470845734
Boeing 777-200ER,3.981395358609599
A350,3.9000000067883067
Boeing 787-8,3.8365384318794193
B777,3.799999952316284
Embraer E190,3.799999952316284
777,3.6666665275891623
A320-200,3.550000004677309
Boeing 767,3.47674419661594
EMB190,3.299999952316284
B777-300,3.0
A320-232,2.5999999046325684
Boeing 767-300 ,2.5
787,2.200000047683716
A320 Finnair,2.0
A322,1.2000000476837158
Various,1.2000000476837158
Boeing 737-400,1.2000000476837158
BA366,1.100000023841858
777-200,0.800000011920929
Boieng 777-200,0.4000000059604645
Boeing 737 800,0.20000000298023224
Dreamliner,0.10000000149011612
Boeing 747-300,0.0
