word,count
service,112
crew,105
flight,104
very,104
good,95
airways,87
british,86
customer,80
experience,60
friendly,59
cabin,51
excellent,40
ba,36
staff,34
food,34
great,28
seats,28
professional,25
overall,24
efficient,23
pleasant,22
not,21
seat,21
really,21
comfortable,21
attentive,19
all,15
this,15
helpful,14
nice,14
economy,13
again,13
flights,13
had,12
than,12
better,12
would,12
their,11
money,11
surprised,10
fantastic,10
polite,10
it,10
time,10
well,10
best,10
value,10
enjoyable,10
pleasantly,10
amazing,9
fly,9
class,9
no,9
so,9
recommend,9
first,9
positive,8
plane,8
they,8
job,8
its,8
club,8
premium,8
has,8
pay,8
little,8
extra,7
more,7
outstanding,7
worth,7
both,7
drinks,7
cost,7
need,7
short,7
legroom,7
we,7
still,6
seating,6
improvement,6
new,6
fine,6
superb,6
one,6
average,6
old,6
enough,6
meal,6
them,6
decent,6
been,6
happy,6
airline,6
lounge,6
board,6
went,6
product,6
fas,5
inflight,5
us,5
extremely,5
choice,5
kind,5
quite,5
me,5
attendants,5
ok,5
nothing,5
beyond,5
just,5
high,5
reasonable,5
fault,5
world,5
get,5
most,5
business,5
wonderful,5
pretty,5
did,4
always,4
could,4
low,4
will,4
welcome,4
looked,4
top,4
upgrade,4
bit,4
a380,4
your,4
bad,4
flying,4
room,4
thoroughly,4
return,4
breakfast,4
she,4
thank,4
airlines,4
provided,4
do,4
every,4
surprisingly,4
where,4
price,4
clean,4
satisfactory,4
way,4
trip,4
enjoyed,4
expected,4
onboard,4
downgraded,3
got,3
hit,3
easyjet,3
hand,3
everything,3
lovely,3
there,3
t5,3
level,3
leg,3
carriers,3
baggage,3
same,3
solid,3
uncomfortable,3
should,3
impressed,3
free,3
felt,3
definitely,3
other,3
passengers,3
check,3
expect,3
offer,3
absolutely,3
acceptable,3
avoid,3
unobtrusive,3
anything,3
feel,3
couldnt,3
selection,3
smooth,3
worn,3
make,3
what,3
paid,3
like,3
satisfied,3
complain,3
ive,3
small,3
pleased,3
continue,3
okay,3
help,3
quick,3
boeing,3
style,3
served,3
drink,3
right,3
tasty,3
game,3
dont,3
