OverallRating,ReviewHeader,TypeOfTraveller,SeatType,DateFlown,SeatComfort,CabinStaffService,GroundService,Aircraft,Food&Beverages,Departure,Destination
2.4,"""do not upgrade members based on status""",Business,Economy Class,Nov,2.0,3.0,1.0,A320,1.0,Brussels,London
7.1,"""Flight was smooth and quick""",Couple Leisure,Business Class,Nov,3.0,3.0,4.0,A320,4.0,Heathrow,Dublin
0.6,"""Customer Service is non existent""",Couple Leisure,Economy Class,Nov,1.0,1.0,1.0,Boeing 747,1.0,London,Lisbon
1.8,"""I can't imagine a worst airline""",Solo Leisure,Economy Class,Sep,1.0,1.0,1.0,A320,1.0,Bucharest,Manchester
8.2,"""sufficient leg and arm room""",Couple Leisure,Premium Economy,Nov,5.0,5.0,4.0,Boeing 777-300,4.0,Manchester,Cape Town
7.4,crew were polite?,Solo Leisure,Economy Class,Nov,3.0,3.0,3.0,A320,3.0,Seville,London Gatwick 
1.1,"""Angry, disappointed, and unsatisfied""",Family Leisure,Economy Class,Nov,4.0,5.0,3.0,Boeing 777,4.0,Heathrow,Atlanta
2.5,"""BA now stands for Basic Airways""",Couple Leisure,Economy Class,Oct,3.0,3.0,3.0,Boeing 777-300,1.0,Gatwick,Antalya
5.8,"""reflect a downward trend of the airline""",Solo Leisure,Economy Class,Oct,3.0,1.0,3.0,A320,1.0,Heathrow,Gibraltar
7.3,"""One of my better flights""",Couple Leisure,Economy Class,Oct,4.0,5.0,5.0,Boeing 747-400,4.0,London,Philadelphia
6.5,"""I would still recommend BA"" ",Business,Economy Class,Oct,3.0,5.0,5.0,A321 Neo,3.0,Heathrow,Cairo
1.9,"""the worst experience ever""",Couple Leisure,Economy Class,Oct,2.0,3.0,1.0,Boeing 777-300 ER,3.0,Seattle,Heathrow
7.9,"""an exceptional crew member"" ",Couple Leisure,Economy Class,Oct,4.0,5.0,4.0,A320,3.0,Malta,Gatwick
4.3,"""in-flight service is usually weak""",Solo Leisure,Economy Class,Oct,3.0,2.0,2.0,A380-800,2.0,San Francisco,London
1.1,"""BA customer service is a disgrace""",Solo Leisure,Business Class,Oct,2.0,1.0,2.0,A321,1.0,Istanbul,London
0.3,"""little concern for customer service""",Couple Leisure,Economy Class,Oct,1.0,1.0,1.0,A380-800,1.0,London,Austin
0.7,"""gave up being a full-service airline""",Solo Leisure,Economy Class,Oct,1.0,2.0,1.0,A320,1.0,Geneva,Heathrow
5.7,"""2.5 hours before the bags finally arrived."" ",Couple Leisure,Business Class,Sep,4.0,5.0,1.0,A320,4.0,Porto,London
2.6,"""left on your own and nobody cares""",Solo Leisure,Economy Class,Oct,2.0,4.0,1.0,A320-232,1.0,Heathrow,Geneva
4.2,"""Club Europe is simply a joke""",Business,Business Class,Oct,3.0,4.0,3.0,A320,1.0,London,Istanbul
3.6,"""Very second rate shoddy airline""",Couple Leisure,Economy Class,Oct,3.0,3.0,2.0,A319,3.0,Gatwick,Punta Cana
0.3,"""some sort of medieval torture""",Solo Leisure,Business Class,Jul,1.0,5.0,5.0,A321,3.0,London,Hong Kong
1.9,"""Never again BA"" ",Couple Leisure,Economy Class,Oct,1.0,1.0,1.0,A320,1.0,Catania,Gatwick
0.8,"""Boarding flight took an hour"" ",Solo Leisure,Economy Class,Oct,3.0,1.0,1.0,A321,1.0,Berlin,London
1.6,"""our luggage was soaking wet""",Couple Leisure,Economy Class,Sep,3.0,3.0,1.0,Boeing 777-200,1.0,Atlanta,London
0.1,"""The worst airline I have ever flown""",Couple Leisure,Economy Class,Oct,1.0,1.0,1.0,Boeing 787,2.0,Singapore,Sydney
9.9,"""Excellent service levels""",Solo Leisure,First Class,Oct,5.0,5.0,5.0,Boeing 777,5.0,London,New York
1.1,"""British Airways was absolutely shocking""",Couple Leisure,Business Class,Aug,1.0,1.0,1.0,BA366,1.0,Heathrow,Marseille
2.6,"""service was mediocre at best""",Couple Leisure,Economy Class,Oct,2.0,3.0,2.0,A380,1.0,Chicago,Heathrow
2.0,"""BA standards continue to decline""",Business,Business Class,Sep,2.0,1.0,1.0,A320,2.0,Heathrow,Munich
1.1,"""won the race to the bottom"" ",Couple Leisure,Business Class,Sep,2.0,3.0,1.0,A320,2.0,Heathrow,Istanbul
3.0,"""Not a reliable airline""",Business,Economy Class,Oct,4.0,4.0,1.0,A320,2.0,London,Geneva
1.5,"""It is a national disgrace""",Couple Leisure,Business Class,Sep,1.0,1.0,1.0,A321 Neo,1.0,Athens,London
2.9,"""The worst journey in my life""",Business,Economy Class,Sep,3.0,3.0,1.0,A320-200,2.0,Milan,London
4.9,"""Very disappointed""",Couple Leisure,First Class,Sep,1.0,4.0,3.0,777-300,4.0,Dallas,Heathrow
1.8,"""the service was shockingly bad""",Business,Business Class,Sep,2.0,1.0,1.0,A321,1.0,London,Seville
1.1,"""Never again will I fly BA""",Couple Leisure,Economy Class,Sep,1.0,1.0,2.0,A380-800,1.0,Heathrow,Tokyo
1.6,"""never fly this awful airline again"" ",Solo Leisure,Business Class,Aug,1.0,3.0,1.0,Boeing 767,2.0,Miami,Heathrow
1.5,"""I'll never fly with them again""",Business,Business Class,Sep,1.0,3.0,1.0,Boeing 777,3.0,Prague,London
1.4,"""the worst of the worst""",Business,Economy Class,Sep,1.0,1.0,1.0,Boeing 747-400,1.0,London,Glasgow
1.3,"""everyone refused to help us"" ",Family Leisure,Economy Class,Aug,3.0,2.0,1.0,Boeing 747-400,3.0,San Diego,London
1.3,"""not a single feedback from British Airways""",Business,Premium Economy,Aug,2.0,2.0,1.0,A350,2.0,Hamburg,London
5.8,"""Club Europe doesn't feel very premium""",Couple Leisure,Business Class,Sep,3.0,4.0,4.0,A320,3.0,Heathrow,Porto
8.9,"""service on board was impeccable""",Couple Leisure,Business Class,Sep,3.0,5.0,2.0,Boeing 787,4.0,London,Santiago
1.0,"""The worst service ever""",Solo Leisure,Economy Class,Sep,3.0,1.0,3.0,Boeing 747-400,1.0,Kuwait,London
1.7,"""Cannot recommend""",Couple Leisure,Economy Class,Sep,1.0,3.0,1.0,A320,1.0,London,Munich
8.2,"""less than a premium experience""",Couple Leisure,Business Class,Aug,3.0,4.0,4.0,A321,3.0,London,Keflavik
8.0,"""good, but not spectacular""",Couple Leisure,Business Class,Aug,4.0,3.0,4.0,Boeing 777-200,3.0,Mumbai,London
1.4,"""Lies and misleading unprofessional service""",Business,Premium Economy,Sep,2.0,4.0,4.0,Boeing 787,3.0,Houston,Heathrow
0.9,"""avoid BA like the plague""",Solo Leisure,Business Class,Sep,1.0,1.0,3.0,A380,2.0,London,Miami
1.7,"""express our displeasure and concerns""",Couple Leisure,Premium Economy,Jul,3.0,1.0,1.0,Boeing 787,1.0,Chicago,London
1.0,"""they are the worst in Europe""",Solo Leisure,Business Class,Aug,1.0,1.0,1.0,A320,1.0,London,Malaga
1.8,"""appalling customer service""",Couple Leisure,Business Class,Aug,1.0,3.0,1.0,A320,1.0,Tenerife,Gatwick
2.3,"""standards are worse than ever"" ",Business,Business Class,Aug,2.0,2.0,1.0,A320,2.0,Heathrow,Malaga 
8.1,"""Nice flight, good crew, very good seat""",Couple Leisure,Business Class,Aug,4.0,5.0,5.0,Boeing 777-300,3.0,Heathrow,LAX
3.7,"""ravioli pasta had dried out""",Solo Leisure,Business Class,Jul,3.0,3.0,3.0,A320 Neo,1.0,Larnaca,Heathrow
7.8,"""Great customer service""",Family Leisure,Economy Class,Aug,4.0,5.0,1.0,A380,3.0,Washington DC,London
8.6,"""Cabin crew were all fantastic""",Family Leisure,Business Class,Aug,4.0,5.0,4.0,A380,5.0,London,Miami
1.8,"""service is extremely poor""",Family Leisure,Economy Class,Aug,1.0,1.0,1.0,Boeing 777-200,1.0,London,Algiers
9.7,"""superior to mainline British Airways""",Couple Leisure,Economy Class,Jul,4.0,4.0,5.0,Embraer 190,3.0,Edinburgh,London
0.3,"""They lost my baggage""",Business,Economy Class,Jul,3.0,5.0,1.0,A380,4.0,San Francisco,London
1.6,"""leaving two hours late"" ",Business,Economy Class,Aug,3.0,3.0,1.0,Embraer,1.0,Frankfurt,London
10.0,"""Couldn't recommend BA more""",Solo Leisure,Business Class,Jul,5.0,5.0,5.0,Boeing 777,5.0,London,Hong Kong
0.5,"""bumped off due to overselling""",Couple Leisure,Economy Class,Jul,3.0,3.0,1.0,A380,1.0,Gatwick,Montpelier
9.0,"""a very comfortable flight""",Couple Leisure,Business Class,Jul,4.0,5.0,4.0,Boeing 787-8,5.0,London,Mumbai
