Features,Importances
TravelForLeisure,0.008419569641188089
TravelForBusiness,0.00518109957934993
Economy Class,0.002180038552067075
Business Class,0.001145990846066092
Premium Economy,0.0003799446647473433
First Class,0.0006691422656499452
DepartInOct,0.0004785504348958364
DepartInSep,0.0009954848652309512
DepartInAug,0.0005245260800189669
DepartInNov,0.0006824784966257038
DepartInDec,0.0008064060604340636
DepartInJun,0.001947307039592297
DepartInJul,0.0010372300896461795
DepartInMar,0.0006733695701283536
DepartInJan,0.0009147139882479836
DepartInMay,0.0005854587861106408
DepartInApr,0.0005283534043490885
DepartInFeb,0.0005200614218438674
SeatComfort,0.1454611106388294
CabinStaffService,0.24310961805675046
GroundService,0.16857998384854025
Food&Beverages,0.41517956166968717
