OverallRating,count
9.1,17
9.4,19
6.9,12
9.0,18
5.0,18
9.9,17
7.6,19
3.8,24
7.8,29
2.2,24
5.5,12
2.5,34
5.7,10
7.7,28
8.5,18
9.5,19
8.1,26
8.3,15
3.4,33
4.6,17
7.4,28
4.2,20
5.3,17
7.0,24
2.0,39
1.8,45
5.2,12
3.2,27
3.6,29
0.1,23
6.2,20
5.4,11
3.0,21
2.9,33
9.7,18
7.5,24
8.2,26
0.6,22
5.1,18
0.9,26
6.1,21
8.4,25
1.5,41
10.0,110
2.6,33
8.6,25
3.3,19
0.5,20
1.1,44
8.9,22
6.7,14
2.8,29
4.4,13
3.5,24
6.4,14
7.3,22
1.0,27
6.0,15
1.4,37
8.0,26
0.3,29
0.4,22
8.7,25
1.6,58
9.3,12
6.3,25
4.1,18
4.8,9
9.2,20
5.9,13
2.4,31
5.8,16
9.8,20
9.6,14
5.6,16
2.7,30
3.7,24
4.5,13
0.8,26
3.9,23
6.8,19
1.2,39
1.7,41
4.0,27
2.3,23
3.1,28
7.9,21
6.5,17
7.1,28
4.7,15
4.3,22
7.2,20
0.2,27
6.6,13
0.0,16
1.3,40
2.1,35
4.9,17
0.7,24
8.8,21
1.9,37
