Aircraft,AverageSeatComfort
B747-400 in retro,5.0
787,5.0
Boeing 777-236 ER,5.0
A321-200,5.0
Boeing 787-10,5.0
B777-300ER,5.0
Saab 2000,5.0
Boeing 787-800,4.333333333333333
EMB190,4.0
Boeing 777-236,4.0
Embraer,4.0
B737-400,4.0
B767,4.0
SAAB 2000,4.0
boeing 787,4.0
Embraer 190,4.0
767-300,4.0
Boeing 787-900,4.0
E190,3.75
Embraer 170,3.6666666666666665
A318,3.5
Boeing 737-800,3.5
Boeing 777-300 ER,3.3137254901960786
E170,3.25
A320 Neo,3.25
A380,3.2451923076923075
Boeing 787-9,3.0375
Boeing 787 Dreamliner,3.0
Boeing 744,3.0
A330,3.0
A219,3.0
A350-1000,3.0
A340-300,3.0
Airbus A380,3.0
Boieng 777-200,3.0
Boeing 787-8,2.9038461538461537
A319,2.9027777777777777
Boeing 787,2.8541666666666665
Boeing 777-200,2.852760736196319
Boeing 777,2.8403908794788273
A320,2.7880434782608696
Boeing 747-400,2.763157894736842
A321,2.761467889908257
A320-200,2.6944444444444446
Boeing 777-300,2.6818181818181817
Boeing 767-300,2.6666666666666665
A380-800,2.6458333333333335
A350,2.638888888888889
Boeing 747,2.6
Boeing 777-200ER,2.5348837209302326
Boeing 767,2.4767441860465116
Boeing 737,2.3333333333333335
777,2.3333333333333335
B747-400,2.25
A321 Neo,2.25
A320-232,2.0
A320 Finnair,2.0
Boeing 767-300 ,2.0
Dreamliner,2.0
A322,2.0
B777-200,2.0
Boeing 747-300,2.0
B777,1.0
Various,1.0
B777-300,1.0
777-200,1.0
777-300,1.0
Boeing 737-400,1.0
Boeing 737 800,1.0
BA366,1.0
Embraer E190,1.0
