OverallRating,SentimentScore,count
4.9,-0.5256,1
1.4,-0.4588,1
3.7,-0.1027,2
8.6,0.4754,1
7.7,0.7925,1
8.1,0.659,1
2.7,0.4576,1
0.4,-0.296,2
10.0,0.4019,2
4.4,-0.2732,1
7.6,0.5106,1
7.4,0.6249,1
2.8,0.1027,1
3.8,-0.2584,1
6.5,0.4404,1
7.8,0.6369,1
6.8,-0.3182,1
8.2,0.3612,1
3.4,0.4019,1
3.6,-0.7717,1
2.3,-0.7003,1
2.2,0.0,11
1.8,0.0,21
1.2,-0.4927,1
2.7,-0.5423,2
0.2,-0.3182,2
3.8,0.4939,1
6.8,-0.4019,1
4.3,-0.128,1
2.9,-0.2596,1
2.5,0.0258,1
0.8,-0.5719,1
3.7,0.4215,1
7.4,0.4939,2
5.0,-0.5413,1
0.3,-0.3612,1
8.3,0.4019,1
2.8,0.4939,1
7.0,0.7688,1
1.6,-0.296,1
6.3,0.0258,1
2.8,0.4215,1
8.8,0.5719,2
7.0,-0.1695,1
7.3,0.4404,2
8.9,-0.296,1
1.3,0.4215,1
8.4,0.0,8
3.1,-0.6124,1
3.1,-0.3818,1
8.8,0.4404,1
2.9,-0.4215,2
2.6,0.4005,1
7.2,0.34,1
7.0,0.6249,1
3.5,-0.6269,1
5.8,0.4404,1
8.0,0.5106,1
6.8,0.5413,1
6.2,0.3182,1
6.5,0.5574,1
6.8,0.4215,1
3.5,0.3612,1
1.7,-0.2263,1
0.8,-0.2716,1
6.4,0.2732,1
0.9,0.5423,1
6.1,0.5106,1
6.1,0.7269,1
4.7,0.5719,1
6.3,0.5563,1
7.2,0.6124,1
1.9,-0.128,1
1.5,0.34,2
5.3,0.2732,1
6.2,0.5423,1
8.2,0.34,1
0.5,-0.1695,1
5.3,0.0,7
7.4,0.6269,1
6.3,-0.3252,1
3.7,-0.6249,1
0.8,-0.5256,1
0.9,-0.765,1
4.1,0.0,9
8.0,0.6249,1
7.6,0.4404,2
9.7,0.5423,1
9.6,0.4927,2
1.4,0.0772,1
4.1,0.4256,1
3.0,0.2732,1
6.0,-0.4939,1
6.3,-0.4588,1
1.5,-0.4767,1
2.4,-0.5423,1
9.2,0.4201,1
9.7,0.6908,1
6.1,-0.3089,1
7.5,0.5106,2
2.5,-0.4767,4
8.0,0.0,8
2.4,-0.4939,1
2.4,0.2263,1
7.8,0.5719,1
8.5,0.5719,1
6.9,0.5106,2
0.3,-0.4588,1
1.3,-0.3612,1
9.5,0.3089,2
1.0,-0.4201,1
8.0,0.6124,1
1.7,-0.3804,1
10.0,-0.2755,1
10.0,0.5563,5
7.7,0.2023,1
1.5,-0.2755,2
5.9,0.4404,1
1.7,0.0382,1
7.5,0.5719,1
5.1,0.5563,1
5.4,0.3612,1
9.5,0.0,4
3.8,0.0,13
1.6,-0.3818,2
5.3,-0.4939,1
1.3,-0.3182,1
7.6,0.6486,2
7.3,0.2023,2
1.8,-0.34,1
0.2,0.1313,1
6.4,-0.4927,1
8.2,0.6249,2
5.8,-0.296,1
8.1,0.2023,1
9.0,0.7506,1
8.5,0.6369,1
2.1,-0.2584,1
3.5,-0.7351,1
2.9,-0.3182,2
7.3,-0.6249,1
2.1,-0.7233,1
7.5,-0.128,1
2.6,0.4019,1
7.4,0.3252,1
9.9,0.5563,2
4.6,-0.2584,1
2.4,-0.1027,1
5.0,-0.3724,1
1.5,0.296,1
1.4,-0.6249,3
7.4,0.5859,1
1.2,-0.6597,1
0.3,-0.2732,1
4.0,-0.3353,1
2.9,-0.1779,1
0.6,-0.6249,1
4.6,-0.3818,1
2.0,-0.3182,2
1.4,-0.2732,1
5.9,-0.5106,1
2.7,0.2263,1
2.4,-0.4767,1
8.2,0.5719,1
5.6,0.552,1
8.1,0.5106,2
2.3,-0.3182,1
0.6,-0.3818,1
3.0,-0.802,1
10.0,0.34,1
3.2,0.0,13
1.1,-0.5563,1
7.8,0.6124,1
7.5,0.3612,1
1.9,-0.4215,1
0.4,-0.5233,1
5.8,0.5563,1
8.0,0.4215,1
4.0,0.6124,1
3.6,-0.4767,3
3.6,0.4588,1
1.1,0.2263,1
0.0,-0.296,1
6.2,0.6486,1
8.1,0.5859,1
5.9,0.1779,1
2.4,-0.5719,1
1.7,-0.2411,1
1.9,-0.1511,1
2.2,-0.4201,1
7.4,0.431,1
3.0,-0.4449,1
4.4,-0.4939,1
10.0,0.7579,1
1.2,0.0,18
2.0,-0.4215,1
1.2,-0.4767,1
6.6,0.6486,1
3.4,-0.34,1
2.8,-0.1695,1
1.1,-0.1027,1
6.3,0.3724,1
4.0,0.2023,1
2.3,-0.5423,1
0.8,0.2023,1
1.6,-0.3875,2
4.6,-0.2075,1
3.2,0.34,1
1.8,-0.4767,1
3.8,-0.3612,1
1.0,-0.5095,1
2.8,-0.1027,1
3.7,-0.3804,1
3.3,-0.4767,1
7.3,0.6486,1
9.3,0.5095,1
2.1,-0.1695,1
3.9,-0.1695,1
4.4,-0.5413,1
8.9,0.5106,2
3.9,0.4703,1
0.6,0.296,1
9.9,0.5574,1
1.4,-0.2755,2
7.1,0.2263,2
7.7,0.6486,1
6.0,0.5574,1
2.5,-0.2732,2
8.0,0.4019,1
2.7,-0.128,1
10.0,0.0762,1
3.7,-0.3612,1
9.6,0.4754,1
1.4,-0.5849,1
4.3,-0.5106,1
9.2,0.4754,1
4.0,-0.7351,1
9.9,0.4939,1
4.2,0.4215,1
6.8,0.3089,1
1.1,-0.4391,1
1.3,-0.4588,1
9.3,0.4101,1
7.7,0.6652,1
0.6,-0.5423,1
7.1,0.4754,1
2.0,0.4588,1
4.2,-0.1027,1
0.7,0.4588,1
3.3,0.7906,1
3.1,-0.2263,1
4.1,-0.5719,1
0.1,-0.3182,1
9.8,0.7184,1
8.8,0.4019,1
9.1,0.6115,1
3.9,0.0258,1
1.6,-0.4588,1
0.9,-0.128,1
1.3,-0.6249,1
6.2,0.4927,1
1.0,-0.3089,1
2.1,-0.6249,2
4.0,-0.3818,1
1.9,-0.6597,1
2.5,-0.6113,1
1.2,-0.5678,1
6.7,0.6597,1
7.9,0.4588,1
2.6,-0.1695,1
7.2,-0.1027,1
7.1,0.4927,2
4.7,-0.4101,1
7.8,-0.3612,2
1.8,0.5096,1
8.0,0.5379,1
3.7,-0.2023,1
8.9,0.6369,1
9.8,0.6115,1
5.6,-0.5267,1
9.5,0.8225,1
6.7,-0.3584,1
10.0,0.4939,2
7.4,-0.2315,1
0.7,-0.3182,1
9.6,0.5994,1
5.0,-0.3818,1
10.0,0.656,1
3.8,-0.7096,1
5.0,-0.1779,1
3.8,-0.2023,1
3.4,-0.4391,1
4.0,0.6908,1
2.0,0.3182,1
0.6,-0.3412,1
1.3,-0.8661,1
9.6,0.5574,1
6.7,0.4404,1
9.9,-0.4404,1
1.3,-0.5256,4
1.5,-0.2411,1
4.6,-0.296,1
7.7,-0.296,1
0.8,-0.2755,1
2.5,-0.6437,1
9.3,0.624,1
7.7,-0.4939,1
9.8,0.6124,1
