Aircraft,AverageCabinStaffService
B747-400 in retro,5.0
B737-400,5.0
B767,5.0
Boeing 777-236 ER,5.0
A321-200,5.0
A219,5.0
SAAB 2000,5.0
B777-300ER,5.0
Saab 2000,5.0
Embraer 190,4.5
E190,4.25
Embraer,4.2
Boeing 787-900,4.166666666666667
A320-232,4.0
Boeing 777-236,4.0
A318,4.0
777-300,4.0
Boeing 744,4.0
A330,4.0
Boeing 787-10,4.0
Embraer E190,4.0
767-300,4.0
A320 Neo,3.875
Boeing 737-800,3.75
Boeing 737,3.6666666666666665
B747-400,3.5
E170,3.5
Boeing 787,3.4583333333333335
A380,3.4471153846153846
A319,3.4166666666666665
A321,3.36697247706422
Embraer 170,3.3333333333333335
Boeing 787-800,3.3333333333333335
A320,3.3260869565217392
Boeing 777-200,3.312883435582822
Boeing 787-9,3.2875
Boeing 777-300 ER,3.215686274509804
Boeing 777-200ER,3.186046511627907
Boeing 747-400,3.1842105263157894
Boeing 787-8,3.173076923076923
A320-200,3.1666666666666665
Boeing 777,3.1335504885993486
A380-800,3.0625
Boeing 747,3.046153846153846
A322,3.0
Boeing 787 Dreamliner,3.0
boeing 787,3.0
A350-1000,3.0
Boeing 767-300,3.0
Boeing 747-300,3.0
A340-300,3.0
Boeing 777-300,2.984848484848485
Boeing 767,2.953488372093023
A350,2.8055555555555554
A321 Neo,2.767857142857143
777,2.6666666666666665
B777,2.0
EMB190,2.0
A320 Finnair,2.0
787,2.0
Boeing 767-300 ,2.0
B777-300,2.0
Boeing 737-400,2.0
Airbus A380,2.0
Boieng 777-200,2.0
Dreamliner,1.0
B777-200,1.0
Various,1.0
777-200,1.0
Boeing 737 800,1.0
BA366,1.0
